bold,kucohort,trcds,abcds,label,domain,assessment
dslang4,dslang4,,,Appears to get lost in middle of conversation,Language and Communication,NTG-EDSD
dslang5,dslang5,,,Does not read,Language and Communication,NTG-EDSD
dslang6,dslang6,,,Does not write,Language and Communication,NTG-EDSD
dssleep1,dssleep1,,,Excessive sleep,Sleep-Wake Change Patterns,NTG-EDSD
dssleep2,dssleep2,,,Inadequate sleep,Sleep-Wake Change Patterns,NTG-EDSD
dssleep3,dssleep3,,,Wakes frequently at night,Sleep-Wake Change Patterns,NTG-EDSD
dssleep4,dssleep4,,,Confused at night,Sleep-Wake Change Patterns,NTG-EDSD
dssleep5,dssleep5,,,Sleeps during the day more than usual,Sleep-Wake Change Patterns,NTG-EDSD
dssleep6,dssleep6,,,Wanders at night,Sleep-Wake Change Patterns,NTG-EDSD
dssleep7,dssleep7,,,Wakes earlier than usual,Sleep-Wake Change Patterns,NTG-EDSD
dssleep8,dssleep8,,,Sleeps later than usual,Sleep-Wake Change Patterns,NTG-EDSD
dsamb1,dsamb1,,,Not confident walking,Ambulation,NTG-EDSD
dsamb2,dsamb2,,,Unsteady walk or loses balance,Ambulation,NTG-EDSD
dsamb3,dsamb3,,,Falls,Ambulation,NTG-EDSD
dsamb4,dsamb4,,,Requires aids to walk,Ambulation,NTG-EDSD
dsmem1,dsmem1,,,Does not recognize familiar persons,Memory,NTG-EDSD
dsmem2,dsmem2,,,Does not remember names of familiar people,Memory,NTG-EDSD
dsmem3,dsmem3,,,Does not remember recent events,Memory,NTG-EDSD
dsmem4,dsmem4,,,Does not find way in familiar surroundings,Memory,NTG-EDSD
dsmem5,dsmem5,,,Loses track of time,Memory,NTG-EDSD
dsmem6,dsmem6,,,Loses or misplaces objects,Memory,NTG-EDSD
dsmem7,dsmem7,,,Puts familiar things in wrong places,Memory,NTG-EDSD
dsmem8,dsmem8,,,Problems with printing or signing own name,Memory,NTG-EDSD
dsmem9,dsmem9,,,Problems with learning new tasks or names,Memory,NTG-EDSD
dsbeh1,dsbeh1,,,Wanders,Behavior and Affect,NTG-EDSD
dsbeh2,dsbeh2,,,Withdraws from social activities,Behavior and Affect,NTG-EDSD
dsbeh3,dsbeh3,,,Withdraws from people,Behavior and Affect,NTG-EDSD
dsbeh4,dsbeh4,,,Loss of interest in hobbies and activities,Behavior and Affect,NTG-EDSD
dsbeh5,dsbeh5,,,Seems to go into own world,Behavior and Affect,NTG-EDSD
dsbeh6,dsbeh6,,,Obsessive or repetitive behavior,Behavior and Affect,NTG-EDSD
dsbeh7,dsbeh7,,,Hides or hoards objects,Behavior and Affect,NTG-EDSD
dsbeh8,dsbeh8,,,Does not know what to do with familiar objects,Behavior and Affect,NTG-EDSD
dsbeh9,dsbeh9,,,Increased impulsivity,Behavior and Affect,NTG-EDSD
dsbeh10,dsbeh10,,,Appears uncertain or lacks confidence,Behavior and Affect,NTG-EDSD
dsbeh11,dsbeh11,,,"Appears anxious, agitated, or nervous",Behavior and Affect,NTG-EDSD
dsbeh12,dsbeh12,,,Appears depressed,Behavior and Affect,NTG-EDSD
dsbeh13,dsbeh13,,,Shows verbal aggression,Behavior and Affect,NTG-EDSD
dsbeh14,dsbeh14,,,Shows physical aggression,Behavior and Affect,NTG-EDSD
dsbeh15,dsbeh15,,,"Temper tantrums, uncontrollable crying, or shouting",Behavior and Affect,NTG-EDSD
dsbeh16,dsbeh16,,,Shows lethargy or listlessness,Behavior and Affect,NTG-EDSD
dsbeh17,dsbeh17,,,Talks to self,Behavior and Affect,NTG-EDSD
dsself1,dsself1,,,Changes in ability to do things,Adult's Self-Reported Problems,NTG-EDSD
dsself2,dsself2,,,Hearing things,Adult's Self-Reported Problems,NTG-EDSD
dsself3,dsself3,,,Seeing things,Adult's Self-Reported Problems,NTG-EDSD
dsself4,dsself4,,,Changes in thinking,Adult's Self-Reported Problems,NTG-EDSD
dsself5,dsself5,,,Changes in interests,Adult's Self-Reported Problems,NTG-EDSD
dsself6,dsself6,,,Changes in memory,Adult's Self-Reported Problems,NTG-EDSD
dsother1,dsother1,,,Changes in gait,Significant Changes Observed by Others,NTG-EDSD
dsother2,dsother2,,,Changes in personality,Significant Changes Observed by Others,NTG-EDSD
dsother3,dsother3,,,Changes in friendliness,Significant Changes Observed by Others,NTG-EDSD
dsother4,dsother4,,,Changes in attentiveness,Significant Changes Observed by Others,NTG-EDSD
dsother5,dsother5,,,Changes in weight,Significant Changes Observed by Others,NTG-EDSD
dsother6,dsother6,,,Changes in abnormal voluntary movements,Significant Changes Observed by Others,NTG-EDSD
,scan_date,,,Scan Date,,Imaging
,radiology_read,,,Radiology Read,,Imaging
,centiloid_apet,,,Centiloid Value,,Imaging
,img_scan_date_apet,,,PET Scan Date,,Imaging
,ptau217_pgml,,,pTau 217 (pg/ml),,Blood Draw
,ptau217_date,,,pTau 217 Assay Date,,Blood Draw
,dschrom,,,Karyotype,,Blood Draw
,chromsm_source,,,Source of Chromosomal Information,,Blood Draw
,ku_apoe1,,,APOE Allele 1,,Blood Draw
,ku_apoe2,,,APOE Allele 2,,Blood Draw
apoe,,,,APOE Genotype,,Blood Draw
hdl_mgdl,,,,HDL (mg/dL),,Blood Draw
ldl_mgdl,,,,LDL (mg/dL),,Blood Draw
totchol_mgdl,,,,Total Cholesterol (mg/dL),,Blood Draw
triglyc_mgdl,,,,Triglycerides (mg/dL),,Blood Draw
hba1c,,,,HbA1c (%),,Blood Draw
glucose,,,,Fasting Glucose (mg/dL),,Blood Draw
ptau181_pgml,,,,pTau-181 (pg/mL),,Blood Draw
bpsys,bpsys,,,Systolic Blood Pressure (mmHg),,Lifestyle
bpdias,bpdias,,,Diastolic Blood Pressure (mmHg),,Lifestyle
,height,,,Height (inches),,Lifestyle
,weight,,,Weight (pounds),,Lifestyle
,fittest_date,,,Date of the Fitness Assessment,,Lifestyle
dxa_total_kg,mass,,,Total Mass (kilograms),,Lifestyle
dxa_lean_g,lean,,,Total Lean Mass (grams),,Lifestyle
dxa_fat_g,fat,,,Total Fat Mass (grams),,Lifestyle
dxa_fat_percent,total_fat,,,Total Body Fat Percentage,,Lifestyle
dxa_bmd_z,dxa_bmd_z,,,Bone Mineral Density (z-score),,Lifestyle
veggiemeter,,,,VeggieMeter Score,,Lifestyle
circ_waist1,,,,Waist Circumference,,Lifestyle
bmi_calc,,,,BMI,,Lifestyle
average_height,,,,Height (cm),,Lifestyle
average_weight,,,,Weight (kg),,Lifestyle
dsdldtotal,,,,Total DLD Score Social + Cognitive ,,Dementia Questionnaire for People with Learning Disabilities
vnld_abcss,,,,Vineland Aadaptive Behavoir Composite Standard Score,,Vineland
vnld_abcci,,,,Vineland Adaptive Behavior Composite Confidence Interval,,Vineland
vnld_abcpct,,,,Vineland Adaptive Behavoir Composite Percentile,,Vineland
vnld_abcvl,,,,Vineland Overall Summary Score,,Vineland
vnld_commss,,,,Vineland Communication Standard Score,,Vineland
vnld_commci,,,,Vineland Communication Confidence Interval,,Vineland
vnld_commpct,,,,Vineland Communication Percentile ,,Vineland
vnld_commlvl,,,,Vineland Communication Skill Level,,Vineland
vnld_dlivss,,,,Vineland Daily Living Skills Standard Score,,Vineland
vnld_dlivci,,,,Vineland Daily Living Skills Confidence Interval,,Vineland
vnld_dlivpct,,,,Vineland Daily Living Skills Percential Rank,,Vineland
vnld_dlivlvl,,,,Vineland Daily Living Skills Level,,Vineland
vnld_soclss,,,,Vineland Socialization Skills Standard Score,,Vineland
vnld_soclci,,,,Vineland Socialization Skills Confidence Interval,,Vineland
vnld_socllvl,,,,Vineland Socialization Skills Skills Level,,Vineland
